campaign_id,size,phone_numbers,top_call_type,sample_text
TC_0000,26,+12402015949;+12406173492;+12406249015;+12406270828;+12406272952;+12406522751;+12406558728;+12406632179;+12406632923;+12406668876;+12406669384;+12406791798;+12407343988;+12408362257;+14432295133;+14434995529;+14435439482;+14435516542;+14435762845;+14435900084;+14436391417;+14438306291;+14439812826;+14439938887;+16672960070;+16678432251,Scam suspicion,Matt Bieneman Unknown robocall scammer. Calls about once each weekday using a different forged Caller ID number each time. Apparently always unassigned phone numbers. In recent days they have also use
TC_0001,17,+12192159721;+12192829287;+12312249794;+12312249915;+12312461461;+12622765081;+13022191435;+13204258552;+13204258608;+13204258673;+13204258805;+13606141077;+15054478609;+15054478762;+15054478889;+15054518132;+15054518174,Scam suspicion,"Manda ""Hi. This is Sarah with an important update from our approval team. According to my records, it looks like you may be approved for a consolidation loan of up to $82,000. Payments for these loans"
TC_0002,16,+12162602463;+12172617501;+12172617706;+12192159627;+12192471049;+12312440895;+12312443470;+12312443738;+12392641410;+13022030725;+13192899213;+13202806475;+15052300386;+17169936017;+17194559788;+17722068335,Scam suspicion,"Manda ""Hello. This is Morgan with an important update from our loan eligibility group. According to my system, you may be qualified for a consolidation loan of up to $85,000. Payments for these loans "
TC_0003,14,+12164846817;+12164949117;+12164949937;+12312471428;+12622749185;+12622749716;+13163961232;+13204258514;+13204258734;+13606141070;+17192574202;+17194099336;+18032584548;+18035078187,Telemarketer,"Manda ""Hi. This is Olivia. I am a senior loan processor with our loan approval department.  According to our system, you may pre-qualify for a consolidation loan of up to $47,000. Payments for this lo"
TC_0004,11,+13152309651;+13153183551;+13153183819;+13154953904;+13155181390;+13156125939;+13156509806;+13156532823;+13156546732;+13158152260;+13158629985,Telemarketer,"Keybolt Classic message from a different phone number, ""Hi, this is Jennifer. I’m a senior underwriter on the debt resolution team. Great news. I have a note here that you are prequalified for a conso"
TC_0005,10,+14453172121;+15185106085;+15186288669;+15857446784;+15858187296;+16823326536;+17165866699;+18382050158;+18458479264;+18459529360,Scam suspicion,"Jane Hey thi sis Violet Rodriguez reaching out from the account prescreen team I see sure that we are able to get you preapproved for a personal loan starting at $85,000 with a manageable monthly paym"
TC_0006,10,+15152002215;+15152003398;+15152003931;+15152042382;+15152042614;+15152042987;+15152070290;+15152093669;+15152122422;+15152141257,Scam suspicion,"Iowan another cover number for google business scam robo giving an opt out number of 619-935-1051 ... caller ID showed ""Algona Ia"""
TC_0007,9,+15052530593;+15137076992;+16142125138;+18014388145;+18014388155;+18014388471;+18014388743;+19133125195;+19135635575,Scam suspicion,D.T. This is the 99th number used by Comenity Bank. They have called 401 times since 3/28/19.  Some of their numbers have complaints from 10 years ago and for different finance firms.  They issue priv
TC_0008,7,+18445092754;+18445093077;+18445093121;+18445093160;+18445093316;+18559090811;+18559090836,Scam suspicion,"Shane | 1 reply Callback number for a very persistent automated loan scam system that calls almost every day outside of Sundays (leaving a voicemail if you miss or reject the call), always from a diff"
TC_0009,6,+12075785863;+12192640433;+12312774972;+13023089614;+15189319957;+15752329647,Telemarketer,"Keybolt I have had several calls from various numbers that leave this voicemail. “Hi, this is Jennifer. I’m an underwriter with our approval department. I’m just calling to let you know it appears you"
TC_0010,6,+13605872432;+13605872464;+13605872466;+13605872709;+13605872767;+13605872793,Scam suspicion,"DT Cut off by my spam blocker because “ Simple.biz ” is blocked. Harassment, constant calls from different numbers. They want to build a website (we have NO need for their service). F rating on BBB, h"
TC_0011,5,+12603388648;+12603855195;+12606350745;+14632233888;+18124154640,Scam suspicion,"JenU I keep getting 260 (Indiana) phone calls. ""Potential Spam"" and no message left. I also get from 260-338-8648, 260-635-0745"
TC_0012,5,+12676965854;+13188733403;+14012406769;+14844819724;+16452123653,Unwanted,"Mike-D Got another unsolicited pending loan approval call, which I did not apply for.  Of course, all they would need is for me to give them all of my sensitive information.  Sure... Here is the body "
TC_0013,5,+13155473793;+13159069918;+13159129167;+15166136447;+15182019826,Scam suspicion,"Manda male voice, a lot of noise in the background) ""Hello. This is Marcos from the funding department. It looks like you may qualify for up to $60,000 with monthly payments near $400. Please call 1-8"
TC_0014,5,+13156624511;+15168319502;+15168936295;+15184908173;+15185686438,Telemarketer,"Keybolt ""Hello, this is Vanessa Reed from the approval department. You’ve been pre-approved for a debt consolidation loan in the amount of $86,000 with estimated monthly payments around $420. Call me "
TC_0015,5,+13159646136;+15858556739;+16079559608;+16317019374;+17165196195,Telemarketer,"Keybolt ""450339. This underwriting department, a $62,300. Hi, this is Joshua Martinez from the loan issuance department. You’re prequalified for a debt consolidation loan of $79,000 and your monthly p"
TC_0016,5,+13642241384;+18774763741;+19419441861;+19805101170;+19805109916,Telemarketer,"Keybolt I get a lot of unsolicited calls that have similar messages from various phone numbers the message left by this one was, ""So I just wanted to follow up. I’m the one assigned to your file. It l"
TC_0017,5,+14066107439;+15029325789;+16012999740;+17757754400;+17852238197,Scam suspicion,James Out of area number originating from (775) 775-4400 who left a voicemail to sell me a scam loan on 6/21/25 at 2pm local time. The 10th day in a row I have received the same exact call with nearly
TC_0018,5,+15184013351;+15184014003;+16073844112;+16452124549;+17196736039,Unwanted,"Mike-D Got another unsolicited pending loan approval call, which I did not apply for.  Of course, all they would need is for me to give them all of my sensitive information.  Sure... Here is the body "
TC_0019,5,+17473172907;+17473172908;+19497856909;+19497856940;+19498414917,Scam suspicion,"L Another SPOOFED SCAM contractor.  The female Asian caller was very inaudible.  When I called back the number using *67 to protect my privacy, the operator said 'you have reached a number that has be"
TC_0020,4,+12012013908;+15512005085;+17322020036;+19082154766,Unwanted,NJ Office Unwanted robocaller claiming to have a message about Google listings. Very aggressive. Been calling several times a day. It's the same message coming from these telephone numbers: 908-215-47
TC_0021,4,+12675105207;+17407638618;+19419408655;+19709555170,Scam suspicion,"Shane Loan scam again, this making it the 27th call since August 18th (only skipping Sundays, Labor Day & September 26th).  The call was rejected when I saw the area code (knowing it was going to be t"
TC_0022,4,+13025505297;+14403690981;+18553753836;+18652042099,Telemarketer,"Keybolt I get a lot of unsolicited calls that have similar messages from various phone numbers the message left by this one was, ""Quick things. If you’re free right now, you can press 2 to connect wit"
TC_0023,4,+13156169831;+13159069914;+13159129317;+15167749363,Telemarketer,"Keybolt A new development with these calls, for the first time there is a masculine name with the voicemail, ""This is Brandon calling from the loan issuance department about your pre-qualified persona"
TC_0024,4,+13156709404;+13157639729;+13158152565;+15182141454,Telemarketer,"Manda (male voice) ""Hi. This is Jason from the approval department. I am reaching out because you have been prequalified for a debt consolidation loan of up to $88,000, with estimated monthly payments"
TC_0025,4,+13158089753;+13158416483;+13159189380;+15182019419,Telemarketer,"Keybolt Had a total of five messages that went ""Hello, this is Marcos from the funding department. It looks like you may qualify for up to $60,000 with monthly payments near $400. Please call 1-(877)-"
TC_0026,4,+14014723669;+15186957601;+16316377190;+19209995383,Scam suspicion,"Shane | 1 reply Call received at 6:04 PM on 10/9/2025, the call was rejected when I saw the area code (expecting it to be another loan scam attempt).  As expected, I received another loan scam voicema"
TC_0027,4,+14156513650;+14156609699;+15103409014;+19162770772,Debt collector,"Mike This number called me left no message, i called back and it said ""this call is being recorded, if you do not want to be recorded hang up now"", so i hung up"
TC_0028,4,+14403694512;+15054205237;+19805092598;+19805122958,Scam suspicion,"Manda (first of message is cut off) ""approval is almost complete but we need to verify a few final details before proceeding. If you no longer wish to receive updates,  you may press 9 to opt out. Thi"
TC_0029,4,+14453159146;+15027615277;+19209859472;+19805099945,Telemarketer,"Keybolt I get a lot of unsolicited calls that have similar messages from various phone numbers the message left by this one was, ""Or someone from underwriting directly. Your file is nearly complete. W"
TC_0030,4,+15184908830;+15858556450;+15859460663;+16317019747,Scam suspicion,"Manda (male voice, a lot of noise in the background) ""Hi. Antonio here. Your $55,000 option remains available and you may secure a great rate. If interested, call 1-877-201-1379. Once again, that's 1-"
TC_0031,4,+15708499054;+15708525936;+15708526936;+18646905324,Scam suspicion,"Theresa Left the following voice message: Hello Evelyn here with the lending union west coast branch. I've been trying to connect with you about your funding approval. If you have a moment right now, "
TC_0032,4,+15855669631;+15855790503;+17165866360;+18772011404,Telemarketer,"Keybolt New name to add to the pre-recoding collection now we have this message, ""Hi Caroline here. Your $80,000 option remains available, and we might offer some excellent terms. Please call 1-877-20"
TC_0033,4,+18012367581;+18012367583;+18012367586;+18012367589,Debt collector,"CB | 5 replies This is North American Recovery (NAR), based in Salt Lake City, Utah. North American Recovery 5225 Wiley Post Way, Suite 410 Salt Lake City, Utah 84116 Phone: 801.364.0777 Fax: 801.364."
TC_0034,4,+18432142857;+18433064658;+18434871686;+18437325817,Telemarketer,"Vermithrax63 Starting to get a cluster of marketing robocalls offering a ""free"" Medic Alert Bracelet. Other numbers: (843) 582-0341 (843) 214-2857 (843) 732-5817 (843) 306-4658"
TC_0035,3,+12052892246;+12052892285;+12052896177,Scam suspicion,"JOman | 1 reply A robocall from UN-known - warranty scam - wanting you to call 844-989-1708. A search shows this number to be from Warrior, AL. A land line number using TELEPORT COMMUNICATIONS AMERICA"
TC_0036,3,+12165374850;+13183908658;+19805095587,Scam suspicion,"Manda (female voice, hard to hear, first of message is cut off) ""opt out request, you must press 9 to be removed. Keep in mind, your $25,000 offer expires at the end of April. To get your loan process"
TC_0037,3,+12406338996;+18148009197;+18555098974,Telemarketer,"Keybolt I get a lot of unsolicited calls that have similar messages from various phone numbers the message left by this one was, ""Steps to verify some details, please call us at 866-878-1552 or press "
TC_0038,3,+12564675154;+12564675155;+13802302613,Scam suspicion,"imppress 380-230-2613 called me and gave 256-467-5155 for return phone calls. (Why? Pretty sus) Said there were problems with my tax return. Yeah, right. Call the IRS or tax dept of your state directl"
TC_0039,3,+12692301737;+15172103799;+16162531697,Scam suspicion,"irritated of these calls my husband and son have both received the same call from 3 different phone numbers , threating to take them to court if they do not return the call to yet another number, it i"
TC_0040,3,+12708126667;+18004915500;+18335360586,Fax,"Oriley Kentucky Health Insurance - info@yourcoverage.net 800-491-5500, 270-812-6667, 833-536-0586"
TC_0041,3,+13027870503;+14346951935;+14453150998,Unwanted,"Mike-D Got another unsolicited pending loan approval call, which I did not apply for.  Of course, all they would need is for me to give them all of my sensitive information.  Sure... Here is the body "
TC_0042,3,+13045798504;+14484887028;+17852894152,Scam suspicion,"AJ Fraudulent robocall claiming you have a collections debt and must call 866-673-9570 to resolve. ""[cut off]... for [name]. It seems we have exhausted all resources to try to reach you in regards to "
TC_0043,3,+13125396476;+18045408221;+18294668859,Text message,"Mellie | 1 reply Text from this number to my cellphone with: Hi, this is Aria from Amazon Recruiting.  We came across your profile and think you could be a great fit for a part-time remote role. The p"
TC_0044,3,+13156125893;+13156509062;+13156624252,Telemarketer,"Keybolt ""Hey, this is Olivia Bennett calling on behalf of the loan issuance department. You’ve been pre-approved for a debt consolidation loan of $93,000 and your monthly payment could be about $465. "
TC_0045,3,+13193474419;+16578675062;+18147312132,Scam suspicion,"Will Call came in on 657-867-5062, didn't answer, and message left for an IRS audit scam requesting call back to this number."
TC_0046,3,+13479149006;+14403694680;+19209857946,Scam suspicion,"Manda (male voice, first of message is cut off) ""based on your credit profile and current economic situation. This loan could help you consolidate high interest debt or lower your monthly payments int"
TC_0047,3,+13853434799;+13853434893;+13853434936,Telemarketer,"DT This place is becoming a real pest. So far they've called from: 385-343-4799, 385-343-4893, 385-343-4936. Per Google ""Tekversify is a digital solutions agency specializing in web design, branding, "
TC_0048,3,+14346777027;+16287899088;+19568222807,Scam suspicion,"TheAnonymousOne Left a VM; the first 10 seconds or so was background noise, but it sounded like a call center. The message began some 12 seconds in, and it was this: ""This is Jessica Martin with the N"
TC_0049,3,+14453164978;+14453176256;+18139239583,Scam suspicion,"Juan Low life losers trying to scam people claiming to be calling about consolidation loans you never applied for and saying you are almost complete with the process, blah, blah, blah.  Use spoofed nu"
TC_0050,3,+14738465617;+14738552681;+14738644723,Scam suspicion,"LML Yesterday (Saturday) morning, I received three different calls from a 473 area code, all within less than an hour. Clearly the scam artists are getting desperate. The numbers were 473-855-2681 (no"
TC_0051,3,+15027614371;+18352512754;+19292071923,Telemarketer,"Keybolt ""With estimated monthly payments around $610 depending on the terms you select. To keep it moving press 2 now to speak with someone from underwriting or call us back at 855-535-0614. Once we c"
TC_0052,3,+15188260465;+16074046041;+17162316065,Scam suspicion,RavenMad +15188260465 loan processing department robo scam call back number 833-487-2573
TC_0053,3,+15189196247;+16318665578;+16416312863,Scam suspicion,RavenMad loan processing department robo scam call back numbers 833-487-2573 or 833-487-2576 or 833-487-2577 or 833-588-3827 or 833-487-2585 or 855-909-0925
TC_0054,3,+15622865124;+16366601833;+19045122479,Fax,"Oriley Ally Commerical, small Business Funding, FAX ad"
TC_0055,3,+15856650759;+16078759875;+16079005314,Telemarketer,"Keybolt Another telemarketer for a loan service making a pitch that went like this, ""Hi, this is Jonathan Fields calling from the underwriting department. You’ve been prequalified for a personal loan "
TC_0056,3,+15858876802;+16802863180;+17165769476,Telemarketer,"Keybolt ""Hey this is Daniel Moore reaching out from the approval department. You’ve been prequalified for a personal loan of $66,000 with a possible monthly payment of $325. Feel free to return my cal"
TC_0057,3,+16316206229;+16452135938;+18352510950,Telemarketer,"Keybolt I get a lot of unsolicited calls that have similar messages from various phone numbers the message left by this one was, ""To follow up personally, I’m the one assigned to your file and it look"
